Date,Public debt,Debt ceiling
4/1/93,4.23E+12,na
4/2/93,4.23E+12,na
4/5/93,4.23E+12,na
4/6/93,4.24E+12,4.37E+12
4/7/93,4.25E+12,4.37E+12
4/8/93,4.24E+12,4.37E+12
4/9/93,4.24E+12,4.37E+12
4/12/93,4.24E+12,4.37E+12
4/13/93,4.24E+12,4.37E+12
4/14/93,4.24E+12,4.37E+12
4/15/93,4.25E+12,4.37E+12
4/16/93,4.25E+12,4.37E+12
4/19/93,4.25E+12,4.37E+12
4/20/93,4.25E+12,4.37E+12
4/21/93,4.26E+12,4.37E+12
4/22/93,4.23E+12,4.37E+12
4/23/93,4.23E+12,4.37E+12
4/26/93,4.23E+12,4.37E+12
4/27/93,4.23E+12,4.37E+12
4/28/93,4.24E+12,4.37E+12
4/29/93,4.24E+12,4.37E+12
4/30/93,4.25E+12,4.37E+12
5/3/93,4.24E+12,4.37E+12
5/4/93,4.24E+12,4.37E+12
5/5/93,4.24E+12,4.37E+12
5/6/93,4.24E+12,4.37E+12
5/7/93,4.24E+12,4.37E+12
5/10/93,4.24E+12,4.37E+12
5/11/93,4.24E+12,4.37E+12
5/12/93,4.25E+12,4.37E+12
5/13/93,4.25E+12,4.37E+12
5/14/93,4.25E+12,4.37E+12
5/17/93,4.28E+12,4.37E+12
5/18/93,4.28E+12,4.37E+12
5/19/93,4.29E+12,4.37E+12
5/20/93,4.29E+12,4.37E+12
5/21/93,4.29E+12,4.37E+12
5/24/93,4.29E+12,4.37E+12
5/25/93,4.29E+12,4.37E+12
5/26/93,4.29E+12,4.37E+12
5/27/93,4.30E+12,4.37E+12
5/28/93,4.30E+12,4.37E+12
6/1/93,4.30E+12,4.37E+12
6/2/93,4.30E+12,4.37E+12
6/3/93,4.29E+12,4.37E+12
6/4/93,4.30E+12,4.37E+12
6/7/93,4.30E+12,4.37E+12
6/8/93,4.30E+12,4.37E+12
6/9/93,4.30E+12,4.37E+12
6/10/93,4.30E+12,4.37E+12
6/11/93,4.30E+12,4.37E+12
6/14/93,4.30E+12,4.37E+12
6/15/93,4.30E+12,4.37E+12
6/16/93,4.30E+12,4.37E+12
6/17/93,4.30E+12,4.37E+12
6/18/93,4.30E+12,4.37E+12
6/21/93,4.30E+12,4.37E+12
6/22/93,4.30E+12,4.37E+12
6/23/93,4.30E+12,4.37E+12
6/24/93,4.30E+12,4.37E+12
6/25/93,4.31E+12,4.37E+12
6/28/93,4.31E+12,4.37E+12
6/29/93,4.31E+12,4.37E+12
6/30/93,4.35E+12,4.37E+12
